id,question,language,intent,chapter,verse,verse_range,secondary_verse,relevance,answer,source,license
10303,నేను పరీక్షలలో తప్పిపోతానేమోనని చాలా భయంగా ఉంది.,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10304,వైఫల్యం గురించి భయం ఎలా అధిగమించాలి?,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10305,ఫలితాల గురించి ఎందుకు ఇంత ఆందోళన పడుతున్నాను?,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10306,కష్టపడ్డాను కానీ విజయం సాధిస్తానో లేదో భయంగా ఉంది.,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10307,వైఫల్యం భయంతో ప్రయత్నించడమే మానేశాను.,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10308,భగవద్గీత వైఫల్యం గురించి ఏమి చెప్తుంది?,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10309,చెత్త ఫలితం గురించే ఆలోచిస్తుండిపోతున్నాను.,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10310,ఫలితాల గురించి ఆందోళన పడకుండా పనిపై ఎలా దృష్టి పెట్టాలి?,Telugu,fear_of_failure,2,47,2.47,2.48,high,"కర్మ చేయడంలో మాత్రమే నీకు అధికారం కలదు, ఫలాలపై ఎన్నడూ నీకు అధికారం లేదు. కర్మఫలానికి నీవు కారణం కావద్దు, అలాగని కర్మలను మానుకోవడంలోనూ నీకు ఆసక్తి ఉండరాదు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10311,"నాకు చాలా ఒత్తిడిగా ఉంది, ఏం చేయాలో తెలియడం లేదు.",Telugu,general_stress,2,14,2.14,2.15,high,"ఓ కుంతీ పుత్రా! ఇంద్రియ విషయాల సంపర్కం శీతోష్ణాలను, సుఖదుఃఖాలను ఇస్తుంది. అవి వచ్చేవి, పోయేవి, అశాశ్వతమైనవి. వాటిని ఓర్పుతో సహించు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10312,ప్రతి పని భారంగా అనిపిస్తోంది.,Telugu,general_stress,2,14,2.14,2.15,high,"ఓ కుంతీ పుత్రా! ఇంద్రియ విషయాల సంపర్కం శీతోష్ణాలను, సుఖదుఃఖాలను ఇస్తుంది. అవి వచ్చేవి, పోయేవి, అశాశ్వతమైనవి. వాటిని ఓర్పుతో సహించు. — ఆచరణ: ఫలాపేక్ష లేకుండా కర్తవ్యాన్ని నిర్వహించాలి; సుఖదుఃఖాలలో సమత్వాన్ని పాటించాలి. ప్రతి పనిని సత్సంకల్పంతో, భగవదర్పణ భావంతో ఆచరించండి.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
