question,intent,topic,chapter,verse,answer
How can I overcome fear?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
I feel constant fear inside my heart.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
How does the Gita teach us to conquer fear?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
I am scared of what the future holds for me.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
Fear is holding me back from taking action.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
How to develop fearless courage according to Krishna?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
Why do humans experience so much fear and insecurity?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
What is the ultimate cure for deep-seated fear?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
How to overcome panic attacks and fear of the unknown?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
How does faith in God eliminate fear?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
I feel terrified when facing new situations.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
How to be courageous and fearless in tough times?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
What shloka removes fear from the mind?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
How can I stop living in fear of tragedy?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
Krishna please remove this paralyzing fear from my life.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
Fear of sickness and danger is making me weak.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
