id,question,language,intent,chapter,verse,verse_range,secondary_verse,relevance,answer,source,license
10616,What is the relationship between karma and free will?,English,karma,3,9,3.9,4.18,high,,Original — authored for Geetha GPT training dataset,Project-internal / CC0
10048,What does the Gita say about controlling anger?,English,anger_control,2,62,2.62,2.63,high,"When one thinks of objects, attachment to them arises; from attachment, desire is born; from desire, anger arises. — Reflect on the sacred principle of Chapter 2, Verse 62: apply integrity, focus on duty without anxiety over outcomes, and cultivate inner peace.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10575,I cannot control my temper at work.,English,anger_control,2,62,2.62,2.63,high,,Original — authored for Geetha GPT training dataset,Project-internal / CC0
10461,I feel paralysed when I think about not achieving my goals.,English,fear_of_failure,2,47,2.47,2.48,high,,Original — authored for Geetha GPT training dataset,Project-internal / CC0
10094,I don't know which career to choose.,English,career_confusion,3,35,3.35,18.47,high,"Better is one's own duty, though devoid of merit, than the duty of another well discharged. Better is death in one's own duty; the duty of another is fraught with fear. — Reflect on the sacred principle of Chapter 3, Verse 35: apply integrity, focus on duty without anxiety over outcomes, and cultivate inner peace.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10597,The Gita on finding happiness when everything feels dark.,English,sadness,2,11,2.11,2.20,high,,Original — authored for Geetha GPT training dataset,Project-internal / CC0
10223,I struggle to maintain faith during difficult times.,English,devotion,9,26,9.26,9.27,high,"Whoever offers Me with devotion a leaf, a flower, a fruit, or a little water, that, so offered devotedly by the pure-minded, I accept. — Reflect on the sacred principle of Chapter 9, Verse 26: apply integrity, focus on duty without anxiety over outcomes, and cultivate inner peace.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10091,The Gita's wisdom on managing difficult relationships.,English,relationship_conflict,3,16,3.16,11.55,high,"He who does not follow the wheel thus set in motion, who is of sinful life, rejoicing in the senses, lives in vain, O Arjuna. — Reflect on the sacred principle of Chapter 3, Verse 16: apply integrity, focus on duty without anxiety over outcomes, and cultivate inner peace.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10138,What does the Gita say about self-discipline?,English,discipline,6,16,6.16,6.17,high,"Verily, Yoga is not possible for him who eats too much, nor for him who does not eat at all, nor for him who sleeps too much, nor for him who is always awake, O Arjuna. — Reflect on the sacred principle of Chapter 6, Verse 16: apply integrity, focus on duty without anxiety over outcomes, and cultivate inner peace.",Original — authored for Geetha GPT training dataset,Project-internal / CC0
10581,What is the Gita's teaching from Chapter 2 on anger?,English,anger_control,2,62,2.62,2.63,high,,Original — authored for Geetha GPT training dataset,Project-internal / CC0
