id,question,language,intent,chapter,verse,verse_range,secondary_verse,relevance,answer,source,license
JD_10001,Why does Dhritarashtra ask Sanjaya to describe the battlefield?,English,moral_dilemma,1,1,1.1,,1.0,"Dhritarashtra is blind, both physically and symbolically — representing ignorance. He wants Sanjaya to narrate what is happening because he is anxious about the outcome of the war and whether his sons (Kauravas) will win.",JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10002,What is the significance of Kurukshetra being described as 'sacred soil' in the verse?,English,moral_dilemma,1,1,1.1,,1.0,"Kurukshetra is referred to as 'sacred soil' because it is not only a battleground but also a place of great spiritual and religious significance, believed to be a dharmic land where righteous decisions are made.",JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10003,Why does Dhritarashtra refer to Kurukshetra as 'Dharmakshetra' in his query to Sanjaya?,English,moral_dilemma,1,1,1.1,,1.0,Dhritarashtra refers to Kurukshetra as 'Dharmakshetra' because he is aware of its spiritual importance. It underscores his concern about the righteousness of the battle and the potential consequences for his sons and the Pandavas.,JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10004,"In Chapter 1, Verse 1, what does Dhritarashtra's question to Sanjaya reveal about his state of mind?",English,moral_dilemma,1,1,1.1,,1.0,Dhritarashtra's question reveals his anxiety and curiosity about the battle's events. His reference to 'my children and the children of Pandu' suggests his concern for the outcome and the fate of both parties involved.,JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10005,What is Dhritarashtra anxious to know about the events at Kurukshetra?,English,moral_dilemma,1,1,1.1,,1.0,"Dhritarashtra is anxious to know what actions both his sons and the sons of Pandu took when gathered on the battlefield, reflecting his deep concern over the impending conflict and its implications.",JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10006,"In Chapter 1, Verse 2, who is the speaker describing Duryodhana's actions?",English,moral_dilemma,1,2,1.2,,1.0,The speaker in this verse is Sanjaya. He is describing the actions of King Duryodhana as he observes the Pandavas' army and approaches Dronacarya to speak.,JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10007,What did Duryodhana see that prompted him to speak to Dronacarya?,English,moral_dilemma,1,2,1.2,,1.0,Duryodhana saw the Pandavas' army arrayed for battle. This sight prompted him to approach Dronacarya and speak.,JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10008,How is the Pandavas' army described in the verse?,English,moral_dilemma,1,2,1.2,,1.0,"The Pandavas' army is described as being drawn up for battle, indicating that they were strategically arranged and ready for combat.",JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10009,Why might Duryodhana approach Dronacarya upon seeing the Pandavas' army?,English,moral_dilemma,1,2,1.2,,1.0,"Duryodhana likely approached Dronacarya because he was concerned or seeking guidance about the battle strategy. Dronacarya, being his teacher and a respected military leader, would be someone whose counsel Duryodhana valued in the face of the formidable Pandavas' army.",JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
JD_10010,What does Duryodhana's reaction to the Pandavas' army reveal about his character?,English,moral_dilemma,1,2,1.2,,1.0,"Duryodhana's immediate reaction to consult with Dronacarya suggests that he is a cautious and strategic thinker. It indicates that he respects wisdom and experience, especially in military matters, and is aware of the seriousness of the battle ahead. This reflects a blend of respect and strategic foresight in his character.",JDhruv14/Bhagavad-Gita-QA (HuggingFace),MIT
