intent,rank,chapter,verse,verse_id
fear_of_failure,1,2,47,2-47
fear_of_failure,2,2,48,2-48
fear_of_failure,3,18,66,18-66
fear_of_failure,4,3,30,3-30
exam_stress,1,2,47,2-47
exam_stress,2,2,48,2-48
exam_stress,3,6,17,6-17
exam_stress,4,3,35,3-35
general_stress,1,2,14,2-14
general_stress,2,2,15,2-15
general_stress,3,6,35,6-35
general_stress,4,18,58,18-58
anxiety,1,2,14,2-14
anxiety,2,2,15,2-15
anxiety,3,18,66,18-66
anxiety,4,2,47,2-47
anger_control,1,2,62,2-62
anger_control,2,2,63,2-63
anger_control,3,16,1,16-1
anger_control,4,6,5,6-5
sadness,1,2,11,2-11
sadness,2,2,20,2-20
sadness,3,2,23,2-23
sadness,4,18,58,18-58
grief,1,2,11,2-11
grief,2,2,19,2-19
grief,3,2,20,2-20
grief,4,15,7,15-7
heartbreak,1,2,14,2-14
heartbreak,2,2,15,2-15
heartbreak,3,12,13,12-13
heartbreak,4,5,20,5-20
relationship_conflict,1,3,16,3-16
relationship_conflict,2,11,55,11-55
relationship_conflict,3,12,13,12-13
relationship_conflict,4,16,3,16-3
career_confusion,1,3,35,3-35
career_confusion,2,18,47,18-47
career_confusion,3,2,47,2-47
career_confusion,4,4,18,4-18
decision_making,1,16,18,16-18
decision_making,2,2,41,2-41
decision_making,3,4,34,4-34
decision_making,4,18,63,18-63
success,1,2,47,2-47
success,2,4,18,4-18
success,3,18,45,18-45
success,4,3,19,3-19
failure,1,2,47,2-47
failure,2,2,48,2-48
failure,3,18,66,18-66
failure,4,3,30,3-30
motivation,1,2,47,2-47
motivation,2,3,8,3-8
motivation,3,18,78,18-78
motivation,4,11,55,11-55
discipline,1,6,16,6-16
discipline,2,6,17,6-17
discipline,3,3,8,3-8
discipline,4,6,35,6-35
focus,1,6,25,6-25
focus,2,2,41,2-41
focus,3,6,35,6-35
focus,4,3,8,3-8
mind_control,1,6,5,6-5
mind_control,2,6,6,6-6
mind_control,3,6,35,6-35
mind_control,4,2,62,2-62
self_control,1,6,5,6-5
self_control,2,2,60,2-60
self_control,3,2,61,2-61
self_control,4,3,43,3-43
attachment,1,2,62,2-62
attachment,2,2,63,2-63
attachment,3,5,10,5-10
attachment,4,3,30,3-30
desire,1,3,37,3-37
desire,2,2,62,2-62
desire,3,16,21,16-21
desire,4,5,12,5-12
jealousy,1,3,30,3-30
jealousy,2,5,25,5-25
jealousy,3,16,2,16-2
jealousy,4,12,16,12-16
ego,1,3,27,3-27
ego,2,16,18,16-18
ego,3,13,8,13-8
ego,4,18,58,18-58
duty,1,3,35,3-35
duty,2,18,47,18-47
duty,3,2,31,2-31
duty,4,3,8,3-8
dharma,1,2,31,2-31
dharma,2,3,35,3-35
dharma,3,18,47,18-47
dharma,4,4,7,4-7
karma,1,3,9,3-9
karma,2,4,18,4-18
karma,3,2,47,2-47
karma,4,3,19,3-19
detachment,1,2,47,2-47
detachment,2,5,10,5-10
detachment,3,12,12,12-12
detachment,4,18,66,18-66
meditation,1,6,10,6-10
meditation,2,6,11,6-11
meditation,3,6,17,6-17
meditation,4,6,25,6-25
devotion,1,9,26,9-26
devotion,2,9,27,9-27
devotion,3,12,8,12-8
devotion,4,9,22,9-22
purpose_of_life,1,3,35,3-35
purpose_of_life,2,18,47,18-47
purpose_of_life,3,2,47,2-47
purpose_of_life,4,4,34,4-34
death,1,2,19,2-19
death,2,2,20,2-20
death,3,2,22,2-22
death,4,2,23,2-23
soul,1,2,20,2-20
soul,2,2,23,2-23
soul,3,2,24,2-24
soul,4,15,7,15-7
rebirth,1,4,5,4-5
rebirth,2,8,16,8-16
rebirth,3,9,25,9-25
rebirth,4,15,8,15-8
liberation,1,18,66,18-66
liberation,2,9,28,9-28
liberation,3,7,14,7-14
liberation,4,4,36,4-36
knowledge,1,4,33,4-33
knowledge,2,4,34,4-34
knowledge,3,4,38,4-38
knowledge,4,4,39,4-39
peace,1,2,70,2-70
peace,2,2,71,2-71
peace,3,5,29,5-29
peace,4,6,7,6-7
responsibility,1,3,21,3-21
responsibility,2,3,22,3-22
responsibility,3,18,41,18-41
responsibility,4,18,42,18-42
leadership,1,3,21,3-21
leadership,2,4,7,4-7
leadership,3,3,25,3-25
leadership,4,18,43,18-43
criticism,1,12,19,12-19
criticism,2,5,20,5-20
criticism,3,2,56,2-56
criticism,4,14,25,14-25
rejection,1,2,14,2-14
rejection,2,2,15,2-15
rejection,3,12,18,12-18
rejection,4,2,47,2-47
loneliness,1,6,7,6-7
loneliness,2,9,26,9-26
loneliness,3,12,13,12-13
loneliness,4,18,58,18-58
uncertainty,1,18,66,18-66
uncertainty,2,4,34,4-34
uncertainty,3,2,41,2-41
uncertainty,4,16,3,16-3
